no,nama,kalimat,tema_postingan,ponpes,sentiment_class,sentiment_score,aspek_manual,text_for_rnn
184,Sumu Riah Sumu,InsyaAllah Aamin,"selamat kepada dua santri hebat, M. Akhsay Saputra dan Ainun Aulia Zulkifly, yang telah berhasil melangkah hingga tahap final dalam Pemilihan Duta Pelajar Sulawesi Barat 2024! ",PPM AL-Ikhlash Lampoko,Positive,25.0,Umum,"InsyaAllah Aamin selamat kepada dua santri hebat, M. Akhsay Saputra dan Ainun Aulia Zulkifly, yang telah berhasil melangkah hingga tahap final dalam Pemilihan Duta Pelajar Sulawesi Barat 2024! "
185,Paud Tigaserangkai,"MasyaAllah, Alhamdulillah 😊👍","selamat kepada dua santri hebat, M. Akhsay Saputra dan Ainun Aulia Zulkifly, yang telah berhasil melangkah hingga tahap final dalam Pemilihan Duta Pelajar Sulawesi Barat 2024! ",PPM AL-Ikhlash Lampoko,Positive,28.0,Umum,"MasyaAllah, Alhamdulillah 😊👍 selamat kepada dua santri hebat, M. Akhsay Saputra dan Ainun Aulia Zulkifly, yang telah berhasil melangkah hingga tahap final dalam Pemilihan Duta Pelajar Sulawesi Barat 2024! "
186,Lisa Ummi Khalis,"Masya Allah, Keren. Congrats buat ananda berdua, dan pembinanya👍👍","selamat kepada dua santri hebat, M. Akhsay Saputra dan Ainun Aulia Zulkifly, yang telah berhasil melangkah hingga tahap final dalam Pemilihan Duta Pelajar Sulawesi Barat 2024! ",PPM AL-Ikhlash Lampoko,Positive,36.0,Umum,"Masya Allah, Keren. Congrats buat ananda berdua, dan pembinanya👍👍 selamat kepada dua santri hebat, M. Akhsay Saputra dan Ainun Aulia Zulkifly, yang telah berhasil melangkah hingga tahap final dalam Pemilihan Duta Pelajar Sulawesi Barat 2024! "
187,Karmila Fahisillah,Masya Allah... selamat buat kedua ananda 🙏🤗,"selamat kepada dua santri hebat, M. Akhsay Saputra dan Ainun Aulia Zulkifly, yang telah berhasil melangkah hingga tahap final dalam Pemilihan Duta Pelajar Sulawesi Barat 2024! ",PPM AL-Ikhlash Lampoko,Positive,38.0,Umum,"Masya Allah... selamat buat kedua ananda 🙏🤗 selamat kepada dua santri hebat, M. Akhsay Saputra dan Ainun Aulia Zulkifly, yang telah berhasil melangkah hingga tahap final dalam Pemilihan Duta Pelajar Sulawesi Barat 2024! "
188,Jamiluddin,Alhamdulillah,"selamat kepada dua santri hebat, M. Akhsay Saputra dan Ainun Aulia Zulkifly, yang telah berhasil melangkah hingga tahap final dalam Pemilihan Duta Pelajar Sulawesi Barat 2024! ",PPM AL-Ikhlash Lampoko,Positive,28.0,Umum,"Alhamdulillah selamat kepada dua santri hebat, M. Akhsay Saputra dan Ainun Aulia Zulkifly, yang telah berhasil melangkah hingga tahap final dalam Pemilihan Duta Pelajar Sulawesi Barat 2024! "
189,Jumiati Ummu Khairah,Barakallahu fiik,"selamat kepada dua santri hebat, M. Akhsay Saputra dan Ainun Aulia Zulkifly, yang telah berhasil melangkah hingga tahap final dalam Pemilihan Duta Pelajar Sulawesi Barat 2024! ",PPM AL-Ikhlash Lampoko,Positive,23.0,Umum,"Barakallahu fiik selamat kepada dua santri hebat, M. Akhsay Saputra dan Ainun Aulia Zulkifly, yang telah berhasil melangkah hingga tahap final dalam Pemilihan Duta Pelajar Sulawesi Barat 2024! "
190,اسلم مردىن,Kerennn,Lomba Gerak Jalan tingkat Kabupaten!,PPM AL-Ikhlash Lampoko,Positive,1.0,Kualitas Guru,Kerennn Lomba Gerak Jalan tingkat Kabupaten!
191,Hikmah Akifah,Masya Allah. Sukses selalu anak2 Sholehah,Lomba Gerak Jalan tingkat Kabupaten!,PPM AL-Ikhlash Lampoko,Positive,12.0,Kualitas Guru,Masya Allah. Sukses selalu anak2 Sholehah Lomba Gerak Jalan tingkat Kabupaten!
192,Ety Kurnia Pebriani Rasyid,🤗,Lomba Gerak Jalan tingkat Kabupaten!,PPM AL-Ikhlash Lampoko,Positive,1.0,Kualitas Guru,🤗 Lomba Gerak Jalan tingkat Kabupaten!
193,Wahyuni Lhya,Masyaa Allah hebat...sukses selalu anak2 sholehah,Lomba Gerak Jalan tingkat Kabupaten!,PPM AL-Ikhlash Lampoko,Positive,12.0,Kualitas Guru,Masyaa Allah hebat...sukses selalu anak2 sholehah Lomba Gerak Jalan tingkat Kabupaten!
194,Ramlah Marsuki,Masya Allah.,Lomba Gerak Jalan tingkat Kabupaten!,PPM AL-Ikhlash Lampoko,Positive,6.0,Kualitas Guru,Masya Allah. Lomba Gerak Jalan tingkat Kabupaten!
195,Cicidiva Cicidiva,Sukses selalu anak2ku syg.,Lomba Gerak Jalan tingkat Kabupaten!,PPM AL-Ikhlash Lampoko,Positive,10.0,Kualitas Guru,Sukses selalu anak2ku syg. Lomba Gerak Jalan tingkat Kabupaten!
196,Hikmah Akifah,Alhamdulillah.,Detik-Detik SMPS AL-IKHLASH JUARA 1 Ajang Lomba Gerak Jalan Tingkat SMP/MTS!,PPM AL-Ikhlash Lampoko,Positive,9.0,Kualitas Guru,Alhamdulillah. Detik-Detik SMPS AL-IKHLASH JUARA 1 Ajang Lomba Gerak Jalan Tingkat SMP/MTS!
197,Erna Aini,Masya Allah kegiatannya anak 2,Detik-Detik SMPS AL-IKHLASH JUARA 1 Ajang Lomba Gerak Jalan Tingkat SMP/MTS!,PPM AL-Ikhlash Lampoko,Positive,12.0,Kualitas Guru,Masya Allah kegiatannya anak 2 Detik-Detik SMPS AL-IKHLASH JUARA 1 Ajang Lomba Gerak Jalan Tingkat SMP/MTS!
198,Serlin Samon,Alhamdulillah,Detik-Detik SMPS AL-IKHLASH JUARA 1 Ajang Lomba Gerak Jalan Tingkat SMP/MTS!,PPM AL-Ikhlash Lampoko,Positive,9.0,Kualitas Guru,Alhamdulillah Detik-Detik SMPS AL-IKHLASH JUARA 1 Ajang Lomba Gerak Jalan Tingkat SMP/MTS!
199,Los Los Blancos,"Luar biasa, sukses terus adik2ku",Yel Yel PPM Al-Ikhlash,PPM AL-Ikhlash Lampoko,Positive,9.0,Akademik,"Luar biasa, sukses terus adik2ku Yel Yel PPM Al-Ikhlash"
200,Rahmat Basri,Masya Allah bangga jadi alumni Al.Ikhlas.,Yel Yel PPM Al-Ikhlash,PPM AL-Ikhlash Lampoko,Positive,15.0,Akademik,Masya Allah bangga jadi alumni Al.Ikhlas. Yel Yel PPM Al-Ikhlash
201,Ayu Lestari,Masya Alloh kereen luar biasa😍😍,Yel Yel PPM Al-Ikhlash,PPM AL-Ikhlash Lampoko,Positive,6.0,Akademik,Masya Alloh kereen luar biasa😍😍 Yel Yel PPM Al-Ikhlash
202,Paud Tigaserangkai,"MasyaAllah, sukses buat seluruh keluarga besar ppm al-ikhlas. Aamiin",Yel Yel PPM Al-Ikhlash,PPM AL-Ikhlash Lampoko,Positive,23.0,Akademik,"MasyaAllah, sukses buat seluruh keluarga besar ppm al-ikhlas. Aamiin Yel Yel PPM Al-Ikhlash"
203,Cici Ebtawati Putri,Kereeen Masyaa Allaah.....,Yel Yel PPM Al-Ikhlash,PPM AL-Ikhlash Lampoko,Neutral,0.0,Akademik,Kereeen Masyaa Allaah..... Yel Yel PPM Al-Ikhlash
204,Irma Jayanti A,Masya Allah,Yel Yel PPM Al-Ikhlash,PPM AL-Ikhlash Lampoko,Positive,5.0,Akademik,Masya Allah Yel Yel PPM Al-Ikhlash
205,Jumria Jum,Masya Allah  kerennya tawwa  maju terus,Yel Yel PPM Al-Ikhlash,PPM AL-Ikhlash Lampoko,Positive,5.0,Akademik,Masya Allah  kerennya tawwa  maju terus Yel Yel PPM Al-Ikhlash
206,Nur Isha Icha,"Masya Allah keren banget ,,,😍",Yel Yel PPM Al-Ikhlash,PPM AL-Ikhlash Lampoko,Positive,5.0,Akademik,"Masya Allah keren banget ,,,😍 Yel Yel PPM Al-Ikhlash"
207,Hasmiawati Rahmat,Masya Allah Al ikhlas luas biasa maju terus 🥰🥰🥰,Yel Yel PPM Al-Ikhlash,PPM AL-Ikhlash Lampoko,Positive,18.0,Akademik,Masya Allah Al ikhlas luas biasa maju terus 🥰🥰🥰 Yel Yel PPM Al-Ikhlash
208,Nurjati Husain Jati,Alhamdulillah,SANTRI SMPS PPM AL-IKHLASH RAIH JUARA 1 DALAM LOMBA GERAK JALAN TINGKAT SMP/MTS KECAMATAN CAMPALAGIAN,PPM AL-Ikhlash Lampoko,Positive,8.0,Kualitas Guru,Alhamdulillah SANTRI SMPS PPM AL-IKHLASH RAIH JUARA 1 DALAM LOMBA GERAK JALAN TINGKAT SMP/MTS KECAMATAN CAMPALAGIAN
209,Hikmah Akifah,"Alhamdulillah. Selamat buat para santri dan para pembina di pondok, semoga kedepannya dapat lebih memperlihatkan potensi2 yg ada di pondok",SANTRI SMPS PPM AL-IKHLASH RAIH JUARA 1 DALAM LOMBA GERAK JALAN TINGKAT SMP/MTS KECAMATAN CAMPALAGIAN,PPM AL-Ikhlash Lampoko,Positive,25.0,Kualitas Guru,"Alhamdulillah. Selamat buat para santri dan para pembina di pondok, semoga kedepannya dapat lebih memperlihatkan potensi2 yg ada di pondok SANTRI SMPS PPM AL-IKHLASH RAIH JUARA 1 DALAM LOMBA GERAK JALAN TINGKAT SMP/MTS KECAMATAN CAMPALAGIAN"
210,Asmawati Asma,"Alhamdulilah, selamat untuk pondok pesantren al Ikhlas lampoko atas prestasi yg di capai terkhusus untuk anak anak sholehah ,yg tdk mengenal lelah , Semoga kedepannya semakin baik lagi. Salut 👍",SANTRI SMPS PPM AL-IKHLASH RAIH JUARA 1 DALAM LOMBA GERAK JALAN TINGKAT SMP/MTS KECAMATAN CAMPALAGIAN,PPM AL-Ikhlash Lampoko,Positive,56.0,Pembinaan Karakter,"Alhamdulilah, selamat untuk pondok pesantren al Ikhlas lampoko atas prestasi yg di capai terkhusus untuk anak anak sholehah ,yg tdk mengenal lelah , Semoga kedepannya semakin baik lagi. Salut 👍 SANTRI SMPS PPM AL-IKHLASH RAIH JUARA 1 DALAM LOMBA GERAK JALAN TINGKAT SMP/MTS KECAMATAN CAMPALAGIAN"
211,Nana Lukman,Alhamdulillah ',Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,11.0,Kualitas Guru,Alhamdulillah ' Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!
212,Irmha Alif,Alhamdulillah,Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,11.0,Kualitas Guru,Alhamdulillah Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!
213,Muhammad Solihin S,Alhamdulillah,Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,11.0,Kualitas Guru,Alhamdulillah Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!
214,Muhammad Nurdin,Alhamdulillah,Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,11.0,Kualitas Guru,Alhamdulillah Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!
215,Sifa,Alhamdulillah,Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,11.0,Kualitas Guru,Alhamdulillah Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!
216,Ramlah Bahri,"MasyaAllah, luar biasa barisannya. 👍",Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,12.0,Kualitas Guru,"MasyaAllah, luar biasa barisannya. 👍 Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!"
217,Nur Hafidzah Anas,Alhamdulillah,Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,11.0,Kualitas Guru,Alhamdulillah Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!
218,LhyaNaim Lhya,"Masya Allah,,ppm Al- ikhlas lampoko 😘",Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,15.0,Kualitas Guru,"Masya Allah,,ppm Al- ikhlas lampoko 😘 Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!"
219,Sakiah Sulaeman Kia,Alhamdulillah. Mantap.,Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,16.0,Kualitas Guru,Alhamdulillah. Mantap. Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!
220,Wahyunidris,Alhamdulillah... Semangat mu tidak sia2 nak..,Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,21.0,Kualitas Guru,Alhamdulillah... Semangat mu tidak sia2 nak.. Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!
221,Arfa Yanti,Alhamdulillah,Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,11.0,Kualitas Guru,Alhamdulillah Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!
222,Syahril S Tammalele,Alhamdulillah...,Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,11.0,Kualitas Guru,Alhamdulillah... Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!
223,Fatimah Hatta,Devenisi jilbab tdak jadi penghalang untuk berprestasi 😍😍😍,Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,15.0,Kualitas Guru,Devenisi jilbab tdak jadi penghalang untuk berprestasi 😍😍😍 Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!
224,Kasriani Ani,Alhamdulillah,Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,11.0,Kualitas Guru,Alhamdulillah Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!
225,Ety Kurnia Pebriani Rasyid,Alhamdulillah,Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,11.0,Kualitas Guru,Alhamdulillah Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!
226,Lisa Ummi Khalis,Alhamdulillah,Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,11.0,Kualitas Guru,Alhamdulillah Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!
227,Helda S,Alhamdulillah 😇😇,Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,11.0,Kualitas Guru,Alhamdulillah 😇😇 Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!
228,Brawijaya Babyshop Fadila Asy'ari,Masya Allah sm disini di wono kk ustads Pesantren Darul Hasanah juara 1 Putri,Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,11.0,Kualitas Guru,Masya Allah sm disini di wono kk ustads Pesantren Darul Hasanah juara 1 Putri Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!
229,Kaher Zain,Selamat..Terbaik Tahun 2024,Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,15.0,Kualitas Guru,Selamat..Terbaik Tahun 2024 Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!
230,Serlin Samon,Alhamdulillah,Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,11.0,Kualitas Guru,Alhamdulillah Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!
231,Nursartika Make Up,Alhamdulillah...sukses sll SMPS AL IKHLAS LAMPOKO,Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,18.0,Kualitas Guru,Alhamdulillah...sukses sll SMPS AL IKHLAS LAMPOKO Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!
232,Hasan Ulfa,Alhamdulillah...,Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,11.0,Kualitas Guru,Alhamdulillah... Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!
233,Erna Aini,Semangat terus anak 2sholeh soleha,Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,17.0,Kualitas Guru,Semangat terus anak 2sholeh soleha Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!
234,Cicidiva Cicidiva,Alhamdulillah.,Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,11.0,Kualitas Guru,Alhamdulillah. Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!
235,Hikmah Akifah,Alhamdulillah. Mantap,Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,16.0,Kualitas Guru,Alhamdulillah. Mantap Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!
236,Munawwarah Djalil,Alhamdulillah..,Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,11.0,Kualitas Guru,Alhamdulillah.. Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!
237,Ahmad Afian,Alhamdulillah,Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,11.0,Kualitas Guru,Alhamdulillah Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!
238,سرينا توزهرا,Alhamdulillah,Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,11.0,Kualitas Guru,Alhamdulillah Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!
239,Nur Mala,"Alhamdulillah.._x000D_
Versi SMA putra ust🙏",Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,11.0,Kualitas Guru,"Alhamdulillah.._x000D_
Versi SMA putra ust🙏 Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!"
240,Ratna,Alhamdulillah,Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,11.0,Kualitas Guru,Alhamdulillah Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!
241,Mala Nurmalasari,Alhamdulillah,Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,11.0,Kualitas Guru,Alhamdulillah Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!
242,Ramzzyah Raehanah Rislan,Alhamdulillah..sukses selalu ppm Al-Ikhlas lampoko,Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,18.0,Kualitas Guru,Alhamdulillah..sukses selalu ppm Al-Ikhlas lampoko Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!
243,Tya Sagarang,Masya Allah....salut sama pelatihnya.Alhamdulillah sipipi rempong terbayarkan rasa capeknya.,Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,35.0,Kualitas Guru,Masya Allah....salut sama pelatihnya.Alhamdulillah sipipi rempong terbayarkan rasa capeknya. Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!
244,Karmila Fahisillah,Masya Allah... selamat 🥰,Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,16.0,Kualitas Guru,Masya Allah... selamat 🥰 Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!
245,Ernhy Muzdhalyfah,Alhamdulillah anak2 sholehah,Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,14.0,Kualitas Guru,Alhamdulillah anak2 sholehah Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!
246,Aqiel Baligh,Dari dulu hingga kini sllu champion 🔥,Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,9.0,Kualitas Guru,Dari dulu hingga kini sllu champion 🔥 Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!
247,NurMadina Idham,Alhamdulillah 😇,Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,11.0,Kualitas Guru,Alhamdulillah 😇 Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!
248,Sri Hastuti Astriani,Alhamdulillah 🤲,Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,11.0,Kualitas Guru,Alhamdulillah 🤲 Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!
249,Ramdania Mar,Alhamdulillah 🤲🏻jayalah terus ppm Al- ikhlas👍🏻👍🏻👍🏻💪🏻🇮🇩🇮🇩🇮🇩,Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,19.0,Kualitas Guru,Alhamdulillah 🤲🏻jayalah terus ppm Al- ikhlas👍🏻👍🏻👍🏻💪🏻🇮🇩🇮🇩🇮🇩 Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!
250,Ikra,"Luarbiasa n mantap, semoga kedepannya lebih baik lagi...",Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,19.0,Kualitas Guru,"Luarbiasa n mantap, semoga kedepannya lebih baik lagi... Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!"
251,Hasriany Amrin,"Masyaallah,,,,,,",Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,6.0,Kualitas Guru,"Masyaallah,,,,,, Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!"
252,Paud Tigaserangkai,"MasyaAllah,Alhamdulillah",Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,11.0,Kualitas Guru,"MasyaAllah,Alhamdulillah Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!"
253,Hasrawati Wati,Mantap👍,Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,11.0,Kualitas Guru,Mantap👍 Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!
254,Sridamayanti S,Alhamdulillah selamat 😍,Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!,PPM AL-Ikhlash Lampoko,Positive,16.0,Kualitas Guru,Alhamdulillah selamat 😍 Alhamdulilah SMPS Al-Ikhlash Lampoko Juara 1 dalam ajang lomba gerak jalan.!
255,Tasmiati Marwan,Maa syaa Allah,SUASANA UPACARA 17 AGUSTUS,PPM AL-Ikhlash Lampoko,Positive,9.0,Fasilitas,Maa syaa Allah SUASANA UPACARA 17 AGUSTUS
256,Surmawati Nurma,Masya Allah,SUASANA UPACARA 17 AGUSTUS,PPM AL-Ikhlash Lampoko,Positive,9.0,Fasilitas,Masya Allah SUASANA UPACARA 17 AGUSTUS
257,Sumu Riah Sumu,Masya Allah,SUASANA UPACARA 17 AGUSTUS,PPM AL-Ikhlash Lampoko,Positive,9.0,Fasilitas,Masya Allah SUASANA UPACARA 17 AGUSTUS
258,Gilang Alling,Spil tempat dewan guru nya min,SUASANA UPACARA 17 AGUSTUS,PPM AL-Ikhlash Lampoko,Positive,13.0,Fasilitas,Spil tempat dewan guru nya min SUASANA UPACARA 17 AGUSTUS
259,Darma Chalik Damar Damar,Luar biasa pondok rapi sekali semua barisanx,SUASANA UPACARA 17 AGUSTUS,PPM AL-Ikhlash Lampoko,Positive,16.0,Fasilitas,Luar biasa pondok rapi sekali semua barisanx SUASANA UPACARA 17 AGUSTUS
260,Mas Bam Bang,bangga dg ppm al ikhlash lampoko,SUASANA UPACARA 17 AGUSTUS,PPM AL-Ikhlash Lampoko,Positive,7.0,Fasilitas,bangga dg ppm al ikhlash lampoko SUASANA UPACARA 17 AGUSTUS
261,Anidardi,Masya Allah,SUASANA UPACARA 17 AGUSTUS,PPM AL-Ikhlash Lampoko,Positive,9.0,Fasilitas,Masya Allah SUASANA UPACARA 17 AGUSTUS
262,Sinar Inar,Luar biasa,SUASANA UPACARA 17 AGUSTUS,PPM AL-Ikhlash Lampoko,Positive,10.0,Fasilitas,Luar biasa SUASANA UPACARA 17 AGUSTUS
